lat,lon,data_id,event_date,year,event_type,sub_event_type,actor1,actor2,region,country,admin1,lat,lon,fatalities
6.4494,-71.7586,8565632,23-Sep-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Arauca,6.4494,-71.7586,0
8.2763,-73.8681,8565641,23-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Bolivar,8.2763,-73.8681,1
2.7776,-76.3243,8565642,23-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.7776,-76.3243,1
7.1163,-73.1326,8565790,22-Sep-21,2021,Violence against civilians,Attack,Military Forces of Colombia (2018-),Civilians (Colombia),South America,Colombia,Santander,7.1163,-73.1326,0
7.7809,-75.7796,8565631,21-Sep-21,2021,Explosions/Remote violence,Grenade,Gulf Clan,Military Forces of Colombia (2018-),South America,Colombia,Cordoba,7.7809,-75.7796,5
2.6649,-76.703,8565628,20-Sep-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Police Forces of Colombia (2018-),South America,Colombia,Cauca,2.6649,-76.703,0
2.9811,-76.7331,8565629,20-Sep-21,2021,Battles,Armed clash,FARC Dissident - Jaime Martinez,Military Forces of Colombia (2018-),South America,Colombia,Cauca,2.9811,-76.7331,0
6.6453,-75.4614,8565638,20-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Antioquia,6.6453,-75.4614,1
3.0493,-76.3761,8565639,20-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.0493,-76.3761,1
7.0364,-76.9522,8565640,20-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Choco,7.0364,-76.9522,1
8.6395,-72.7359,8565741,20-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,8.6395,-72.7359,1
6.4494,-71.7586,8565789,20-Sep-21,2021,Violence against civilians,Attack,Military Forces of Colombia (2018-),Civilians (Colombia),South America,Colombia,Arauca,6.4494,-71.7586,1
4.4537,-75.7865,8575466,20-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,FARC Dissident - 33rd Front,Police Forces of Colombia (2018-),South America,Colombia,Quindio,4.4537,-75.7865,0
5.6922,-76.658,8565624,19-Sep-21,2021,Violence against civilians,Attack,Gulf Clan,Civilians (Colombia),South America,Colombia,Choco,5.6922,-76.658,1
1.8071,-78.7639,8565636,19-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Narino,1.8071,-78.7639,2
4.0853,-76.1977,8565637,19-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,4.0853,-76.1977,1
2.7981,-76.4844,8565634,18-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.7981,-76.4844,1
4.0853,-76.1977,8565635,18-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,4.0853,-76.1977,3
0.9629,-76.4085,8565694,18-Sep-21,2021,Violence against civilians,Attack,Police Forces of Colombia (2018-) DIRAN,Civilians (Colombia),South America,Colombia,Putumayo,0.9629,-76.4085,0
8.6659,-73.8223,8546203,17-Sep-21,2021,Violence against civilians,Attack,Military Forces of Colombia (2018-),Civilians (Colombia),South America,Colombia,Bolivar,8.6659,-73.8223,1
2.7981,-76.4844,8565620,17-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.7981,-76.4844,1
4.2507,-76.9693,8565621,17-Sep-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),ELN,South America,Colombia,Choco,4.2507,-76.9693,7
2.1198,-74.7673,8546200,16-Sep-21,2021,Battles,Armed clash,FARC Dissident,Police Forces of Colombia (2018-),South America,Colombia,Caqueta,2.1198,-74.7673,2
0.505,-76.4973,8546243,16-Sep-21,2021,Violence against civilians,Attack,Police Forces of Colombia (2018-) DIRAN,Civilians (Colombia),South America,Colombia,Putumayo,0.505,-76.4973,0
8.5114,-77.2801,8565619,16-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Choco,8.5114,-77.2801,1
8.5768,-73.0948,8643496,15-Sep-21,2021,Violence against civilians,Abduction/forced disappearance,ELN,Civilians (Colombia),South America,Colombia,Norte de Santander,8.5768,-73.0948,0
2.7981,-76.4844,8546198,15-Sep-21,2021,Violence against civilians,Abduction/forced disappearance,FARC Dissident - Dagoberto Ramos,Civilians (Colombia),South America,Colombia,Cauca,2.7981,-76.4844,0
8.3217,-73.146,8546196,14-Sep-21,2021,Battles,Armed clash,FARC Dissident - 33rd Front,Police Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.3217,-73.146,0
3.7424,-76.9659,8546197,14-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,3.7424,-76.9659,0
10.8563,-74.7742,8546318,14-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Atlantico,10.8563,-74.7742,1
0.0542,-75.6505,8575575,14-Sep-21,2021,Battles,Armed clash,CDF,FARC Dissident - Carolina Ramirez Front,South America,Colombia,Putumayo,0.0542,-75.6505,3
7.2867,-75.7223,8546194,13-Sep-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),Gulf Clan,South America,Colombia,Antioquia,7.2867,-75.7223,7
3.2195,-75.219,8546341,13-Sep-21,2021,Explosions/Remote violence,Grenade,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Huila,3.2195,-75.219,0
5.9272,-75.6707,8565788,12-Sep-21,2021,Violence against civilians,Sexual violence,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Antioquia,5.9272,-75.6707,0
7.019,-71.6103,8546191,11-Sep-21,2021,Battles,Armed clash,ELN,Military Forces of Colombia (2018-),South America,Colombia,Arauca,7.019,-71.6103,5
2.5664,-72.639,8546192,11-Sep-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),FARC Dissident - 1st Front,South America,Colombia,Guaviare,2.5664,-72.639,3
5.3276,-72.3969,8533944,10-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Casanare,5.3276,-72.3969,0
3.5276,-74.0234,8546190,10-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Meta,3.5276,-74.0234,1
7.8939,-72.5078,8533769,09-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Police Forces of Colombia (2018-),South America,Colombia,Norte de Santander,7.8939,-72.5078,1
8.556,-74.2631,8533957,09-Sep-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),Gulf Clan,South America,Colombia,Bolivar,8.556,-74.2631,1
3.3239,-76.2345,8533761,07-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,3.3239,-76.2345,0
2.2568,-77.2495,8533952,07-Sep-21,2021,Battles,Armed clash,FARC Dissident - Carlos Patino Front,ELN,South America,Colombia,Cauca,2.2568,-77.2495,0
6.4494,-71.7586,8565618,07-Sep-21,2021,Battles,Armed clash,ELN,Military Forces of Colombia (2018-),South America,Colombia,Arauca,6.4494,-71.7586,0
6.7776,-76.132,8533756,06-Sep-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),Gulf Clan,South America,Colombia,Antioquia,6.7776,-76.132,2
2.7981,-76.4844,8533757,06-Sep-21,2021,Violence against civilians,Attack,FARC Dissident - Dagoberto Ramos,Civilians (Colombia),South America,Colombia,Cauca,2.7981,-76.4844,0
6.9539,-71.8723,8533906,06-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Police Forces of Colombia (2018-),South America,Colombia,Arauca,6.9539,-71.8723,0
2.2568,-77.2495,8533925,06-Sep-21,2021,Battles,Armed clash,FARC Dissident - Carlos Patino Front,ELN,South America,Colombia,Cauca,2.2568,-77.2495,0
6.7971,-71.7686,8533941,06-Sep-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Private Security Forces (Colombia),South America,Colombia,Arauca,6.7971,-71.7686,0
8.4026,-73.2071,8534560,06-Sep-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),Unidentified Armed Group (Colombia),South America,Colombia,Norte de Santander,8.4026,-73.2071,0
7.9085,-72.4789,8550787,06-Sep-21,2021,Violence against civilians,Attack,ELN,Civilians (Colombia),South America,Colombia,Norte de Santander,7.9085,-72.4789,1
2.2568,-77.2495,8533753,05-Sep-21,2021,Battles,Armed clash,FARC Dissident - Carlos Patino Front,ELN,South America,Colombia,Cauca,2.2568,-77.2495,0
2.7981,-76.4844,8533754,05-Sep-21,2021,Violence against civilians,Attack,FARC Dissident - Dagoberto Ramos,Civilians (Colombia),South America,Colombia,Cauca,2.7981,-76.4844,0
7.5801,-75.4014,8533907,05-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Antioquia,7.5801,-75.4014,0
8.5106,-73.4467,8533749,04-Sep-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Police Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.5106,-73.4467,0
8.4364,-73.2874,8533750,04-Sep-21,2021,Battles,Armed clash,ELN,Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.4364,-73.2874,1
4.2643,-75.9309,8533751,04-Sep-21,2021,Battles,Armed clash,FARC Dissident - Mobile Column,Military Forces of Colombia (2018-),South America,Colombia,Valle del Cauca,4.2643,-75.9309,1
2.331,-77.2353,8533748,03-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.331,-77.2353,1
7.0774,-70.7464,8429764,03-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,FARC Dissident - 10th Front,Military Forces of Colombia (2018-),South America,Colombia,Arauca,7.0774,-70.7464,0
6.9539,-71.8723,8429765,03-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,FARC Dissident - 10th Front,Military Forces of Colombia (2018-),South America,Colombia,Arauca,6.9539,-71.8723,0
8.5768,-73.0948,8429837,03-Sep-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.5768,-73.0948,1
3.4376,-76.519,8546816,02-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,3.4376,-76.519,0
4.8057,-75.7171,8606684,02-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Risaralda,4.8057,-75.7171,1
10.3917,-75.4824,8533956,01-Sep-21,2021,Violence against civilians,Attack,Police Forces of Colombia (2018-),Civilians (Colombia),South America,Colombia,Bolivar,10.3917,-75.4824,0
8.9477,-74.1052,8429834,31-Aug-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Gulf Clan,South America,Colombia,Bolivar,8.9477,-74.1052,1
8.4026,-73.2071,8429968,31-Aug-21,2021,Battles,Armed clash,ELN,Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.4026,-73.2071,1
7.8939,-72.5078,8604822,30-Aug-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,ELN,Police Forces of Colombia (2018-),South America,Colombia,Norte de Santander,7.8939,-72.5078,0
6.7776,-76.132,8429647,30-Aug-21,2021,Battles,Armed clash,Gulf Clan,Police Forces of Colombia (2018-),South America,Colombia,Antioquia,6.7776,-76.132,2
3.0161,-76.4854,8429644,29-Aug-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Unidentified Armed Group (Colombia),South America,Colombia,Cauca,3.0161,-76.4854,2
3.5647,-73.7942,8429645,29-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Meta,3.5647,-73.7942,1
8.3585,-72.4792,8429646,29-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,8.3585,-72.4792,3
4.6165,-74.146,8429640,28-Aug-21,2021,Violence against civilians,Attack,Police Forces of Colombia (2018-),Civilians (Colombia),South America,Colombia,"Bogota, D.C.",4.6165,-74.146,0
8.6395,-72.7359,8429643,28-Aug-21,2021,Battles,Armed clash,FARC Dissident - 33rd Front,Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.6395,-72.7359,1
2.4825,-76.5741,8429831,27-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.4825,-76.5741,0
-0.1919,-74.7825,8430324,26-Aug-21,2021,Battles,Armed clash,CDF,Police Forces of Colombia (2018-),South America,Colombia,Putumayo,-0.1919,-74.7825,1
8.4026,-73.2071,8612800,25-Aug-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),Unidentified Armed Group (Colombia),South America,Colombia,Norte de Santander,8.4026,-73.2071,0
1.3312,-75.9736,8533746,24-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Caqueta,1.3312,-75.9736,1
6.9539,-71.8723,8430321,24-Aug-21,2021,Battles,Armed clash,FARC Dissident - 10th Front,El Tren de Aragua Gang,South America,Colombia,Arauca,6.9539,-71.8723,3
4.2507,-76.9693,8430639,24-Aug-21,2021,Violence against civilians,Attack,Gulf Clan,Civilians (Colombia),South America,Colombia,Choco,4.2507,-76.9693,1
8.3585,-72.4792,8431636,24-Aug-21,2021,Explosions/Remote violence,Grenade,Unidentified Armed Group (Colombia),Police Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.3585,-72.4792,0
7.4886,-74.8671,8430318,23-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Antioquia,7.4886,-74.8671,1
2.9356,-75.2777,8430320,23-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Huila,2.9356,-75.2777,1
2.4825,-76.5741,8431124,23-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.4825,-76.5741,1
8.3896,-73.38,8586953,22-Aug-21,2021,Violence against civilians,Abduction/forced disappearance,ELN,Civilians (Colombia),South America,Colombia,Cesar,8.3896,-73.38,0
3.0161,-76.4854,8430316,22-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.0161,-76.4854,3
8.3585,-72.4792,8430317,22-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,8.3585,-72.4792,2
3.0341,-76.4085,8431122,22-Aug-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Unidentified Armed Group (Colombia),South America,Colombia,Cauca,3.0341,-76.4085,0
2.4825,-76.5741,8429636,21-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.4825,-76.5741,1
8.6857,-73.669,8430315,21-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cesar,8.6857,-73.669,1
2.4825,-76.5741,8431114,19-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.4825,-76.5741,0
7.0774,-70.7464,8533943,19-Aug-21,2021,Violence against civilians,Abduction/forced disappearance,FARC Dissident - 10th Front,Civilians (Colombia),South America,Colombia,Arauca,7.0774,-70.7464,0
4.3346,-75.8303,8431047,18-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,4.3346,-75.8303,1
3.9,-76.3019,8431115,18-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,3.9,-76.3019,1
7.8888,-75.6718,8430314,17-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cordoba,7.8888,-75.6718,1
10.3917,-75.4824,8431136,17-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Bolivar,10.3917,-75.4824,1
7.0774,-70.7464,8533745,17-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Arauca,7.0774,-70.7464,1
5.516,-76.9744,8430310,15-Aug-21,2021,Battles,Armed clash,Gulf Clan,ELN,South America,Colombia,Choco,5.516,-76.9744,0
1.8071,-78.7639,8430311,15-Aug-21,2021,Battles,Armed clash,Police Forces of Colombia (2018-),GUP,South America,Colombia,Narino,1.8071,-78.7639,1
10.9102,-74.7848,8627573,15-Aug-21,2021,Violence against civilians,Attack,Police Forces of Colombia (2018-),Civilians (Colombia),South America,Colombia,Atlantico,10.9102,-74.7848,0
4.7469,-76.8891,8429790,14-Aug-21,2021,Battles,Armed clash,ELN,Gulf Clan,South America,Colombia,Choco,4.7469,-76.8891,1
3.1738,-76.2613,8430308,14-Aug-21,2021,Violence against civilians,Attack,FARC Dissident,Civilians (Haiti),South America,Colombia,Cauca,3.1738,-76.2613,1
10.3917,-75.4824,8431129,14-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Bolivar,10.3917,-75.4824,1
8.6395,-72.7359,8431631,13-Aug-21,2021,Battles,Armed clash,FARC Dissident,Police Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.6395,-72.7359,0
3.0341,-76.4085,8430304,12-Aug-21,2021,Violence against civilians,Attack,FARC Dissident - Dagoberto Ramos,Civilians (Colombia),South America,Colombia,Cauca,3.0341,-76.4085,2
1.9345,-77.3062,8430307,12-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Narino,1.9345,-77.3062,1
3.4639,-73.6214,8430306,11-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Meta,3.4639,-73.6214,1
6.1871,-72.4729,8431111,11-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Boyaca,6.1871,-72.4729,1
8.6395,-72.7359,8431633,11-Aug-21,2021,Battles,Armed clash,FARC Dissident,Police Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.6395,-72.7359,0
3.4376,-76.519,8549351,11-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Venezuela),South America,Colombia,Valle del Cauca,3.4376,-76.519,1
1.9345,-77.3062,8533742,10-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Narino,1.9345,-77.3062,1
4.8057,-75.7171,8430302,10-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Risaralda,4.8057,-75.7171,1
-0.1919,-74.7825,8430300,09-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Putumayo,-0.1919,-74.7825,1
1.5704,-75.3261,8430305,09-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Caqueta,1.5704,-75.3261,1
6.9168,-75.6747,8533744,09-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Antioquia,6.9168,-75.6747,1
2.0011,-76.7789,8430826,08-Aug-21,2021,Battles,Armed clash,ELN,ELN,South America,Colombia,Cauca,2.0011,-76.7789,2
6.2496,-75.5774,8430860,06-Aug-21,2021,Violence against civilians,Attack,Police Forces of Colombia (2018-),Civilians (Colombia),South America,Colombia,Antioquia,6.2496,-75.5774,1
8.2971,-74.4717,8431098,06-Aug-21,2021,Battles,Armed clash,FARC Dissident - 37th Front,ELN,South America,Colombia,Bolivar,8.2971,-74.4717,0
9.9826,-75.3008,8431131,06-Aug-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Gulf Clan,South America,Colombia,Bolivar,9.9826,-75.3008,2
1.2029,-76.9227,8533743,05-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Putumayo,1.2029,-76.9227,1
6.7197,-75.9075,8430292,03-Aug-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Police Forces of Colombia (2018-),South America,Colombia,Antioquia,6.7197,-75.9075,0
1.3913,-78.5193,8431117,03-Aug-21,2021,Battles,Armed clash,FARC Dissident - Oliver Sinisterra Front,FARC Dissident - Ivan Rios,South America,Colombia,Narino,1.3913,-78.5193,6
7.9634,-74.0507,8431132,03-Aug-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),FARC Dissident,South America,Colombia,Bolivar,7.9634,-74.0507,1
8.14,-72.57,8431628,03-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,8.14,-72.57,0
7.9382,-72.6047,8431635,03-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,7.9382,-72.6047,1
8.2971,-74.4717,8430290,02-Aug-21,2021,Battles,Armed clash,FARC Dissident - 37th Front,Gulf Clan,South America,Colombia,Bolivar,8.2971,-74.4717,0
10.5898,-74.1868,8430291,02-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Magdalena,10.5898,-74.1868,3
3.2869,-75.8184,8430289,01-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Tolima,3.2869,-75.8184,3
8.6395,-72.7359,8431629,01-Aug-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,8.6395,-72.7359,1
11.7146,-72.2648,8430286,31-Jul-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Unidentified Armed Group (Colombia),South America,Colombia,La Guajira,11.7146,-72.2648,0
4.8057,-75.7171,8430287,31-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Risaralda,4.8057,-75.7171,0
4.5855,-74.2145,8402518,30-Jul-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Private Security Forces (Colombia),South America,Colombia,Cundinamarca,4.5855,-74.2145,1
6.2839,-71.0977,8402354,29-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Arauca,6.2839,-71.0977,3
2.1198,-74.7673,8402491,29-Jul-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),FARC Dissident - Gentil Duarte Front,South America,Colombia,Caqueta,2.1198,-74.7673,0
3.0161,-76.4854,8402493,29-Jul-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Unidentified Armed Group (Colombia),South America,Colombia,Cauca,3.0161,-76.4854,0
2.3845,-77.2157,8430284,29-Jul-21,2021,Battles,Armed clash,ELN,FARC Dissident,South America,Colombia,Cauca,2.3845,-77.2157,0
7.1716,-75.7647,8402348,28-Jul-21,2021,Battles,Armed clash,FARC Dissident - 18th Front,Gulf Clan,South America,Colombia,Antioquia,7.1716,-75.7647,0
10.4605,-73.2594,8402522,28-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cesar,10.4605,-73.2594,0
7.9085,-72.4789,8550789,27-Jul-21,2021,Violence against civilians,Attack,ELN,Civilians (Colombia),South America,Colombia,Norte de Santander,7.9085,-72.4789,1
2.5664,-72.639,8402347,27-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Guaviare,2.5664,-72.639,1
8.2971,-74.4717,8402344,26-Jul-21,2021,Violence against civilians,Attack,FARC Dissident - 37th Front,Civilians (Colombia),South America,Colombia,Bolivar,8.2971,-74.4717,1
3.0161,-76.4854,8402345,26-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.0161,-76.4854,1
8.5702,-73.4684,8402346,26-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,8.5702,-73.4684,1
4.1513,-74.8854,8402513,26-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Tolima,4.1513,-74.8854,1
8.6395,-72.7359,8402745,26-Jul-21,2021,Violence against civilians,Attack,Military Forces of Colombia (2018-),Civilians (Colombia),South America,Colombia,Norte de Santander,8.6395,-72.7359,1
7.9382,-72.6047,8402746,26-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,7.9382,-72.6047,2
4.1706,-76.1664,8402515,25-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,4.1706,-76.1664,1
8.0649,-74.5881,8402523,25-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Bolivar,8.0649,-74.5881,2
1.4792,-75.4364,8402340,24-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Caqueta,1.4792,-75.4364,3
2.0405,-77.2159,8402341,24-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.0405,-77.2159,3
2.4638,-77.2356,8402478,24-Jul-21,2021,Battles,Armed clash,FARC Dissident - Carlos Patino Front,Military Forces of Colombia (2018-),South America,Colombia,Cauca,2.4638,-77.2356,0
3.6569,-76.6886,8402517,24-Jul-21,2021,Battles,Armed clash,FARC Dissident - Jaime Martinez,Police Forces of Colombia (2018-),South America,Colombia,Valle del Cauca,3.6569,-76.6886,0
7.1163,-73.1326,8402875,24-Jul-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Venezuela),South America,Colombia,Santander,7.1163,-73.1326,1
4.0917,-76.0388,8395368,23-Jul-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Police Forces of Colombia (2018-),South America,Colombia,Valle del Cauca,4.0917,-76.0388,1
6.2496,-75.5774,8395458,23-Jul-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Antioquia,6.2496,-75.5774,0
