lat,lon,data_id,event_date,year,event_type,sub_event_type,actor1,actor2,region,country,admin1,lat,lon,fatalities
2.3845,-77.2157,8627732,30-Oct-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),FARC Dissident - Carlos Patino Front,South America,Colombia,Cauca,2.3845,-77.2157,2
8.5702,-73.4684,8627575,29-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,8.5702,-73.4684,3
7.7872,-75.5331,8612587,28-Oct-21,2021,Battles,Armed clash,Gulf Clan,Police Forces of Colombia (2018-),South America,Colombia,Cordoba,7.7872,-75.5331,0
11.0067,-74.2413,8612582,27-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Magdalena,11.0067,-74.2413,0
8.4082,-75.5832,8612586,27-Oct-21,2021,Battles,Armed clash,Gulf Clan,Police Forces of Colombia (2018-),South America,Colombia,Cordoba,8.4082,-75.5832,1
3.2531,-76.2289,8643719,27-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.2531,-76.2289,1
3.0161,-76.4854,8612580,26-Oct-21,2021,Battles,Armed clash,FARC Dissident - Dagoberto Ramos,Police Forces of Colombia (2018-),South America,Colombia,Cauca,3.0161,-76.4854,0
11.3783,-72.2419,8612581,26-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,La Guajira,11.3783,-72.2419,3
7.1716,-75.7647,8612599,26-Oct-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Antioquia,7.1716,-75.7647,1
0.505,-76.4973,8627724,26-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Putumayo,0.505,-76.4973,0
8.0891,-76.7292,8612583,25-Oct-21,2021,Battles,Armed clash,Gulf Clan,Military Forces of Colombia (2018-),South America,Colombia,Antioquia,8.0891,-76.7292,3
8.5768,-73.0948,8612594,25-Oct-21,2021,Explosions/Remote violence,Grenade,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.5768,-73.0948,0
5.2332,-75.7861,8612984,25-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Caldas,5.2332,-75.7861,1
3.1145,-76.6272,8643505,25-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.1145,-76.6272,1
6.4494,-71.7586,8612585,24-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Arauca,6.4494,-71.7586,0
11.2294,-74.1909,8612598,24-Oct-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Police Forces of Colombia (2018-),South America,Colombia,Magdalena,11.2294,-74.1909,0
2.3845,-77.2157,8612801,24-Oct-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),FARC Dissident - Carlos Patino Front,South America,Colombia,Cauca,2.3845,-77.2157,0
3.9,-76.3019,8612579,23-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,3.9,-76.3019,3
10.7316,-74.2163,8612704,23-Oct-21,2021,Violence against civilians,Attack,Police Forces of Colombia (2018-),Civilians (Colombia),South America,Colombia,Magdalena,10.7316,-74.2163,0
2.7546,-76.6292,8643495,23-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.7546,-76.6292,1
4.2507,-76.9693,8604849,22-Oct-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),ELN,South America,Colombia,Choco,4.2507,-76.9693,1
8.0891,-76.7292,8604972,22-Oct-21,2021,Battles,Armed clash,Gulf Clan,Police Forces of Colombia (2018-),South America,Colombia,Antioquia,8.0891,-76.7292,1
8.0891,-76.7292,8612595,22-Oct-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),Gulf Clan,South America,Colombia,Antioquia,8.0891,-76.7292,1
2.6233,-76.5709,8604845,21-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.6233,-76.5709,1
2.7422,-76.7225,8604848,21-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.7422,-76.7225,2
7.1149,-75.5481,8604970,21-Oct-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),Gulf Clan,South America,Colombia,Antioquia,7.1149,-75.5481,1
2.3845,-77.2157,8604831,20-Oct-21,2021,Battles,Armed clash,FARC Dissident - Carlos Patino Front,Military Forces of Colombia (2018-),South America,Colombia,Cauca,2.3845,-77.2157,10
7.8939,-72.5078,8605133,20-Oct-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,ELN,,South America,Colombia,Norte de Santander,7.8939,-72.5078,0
7.8475,-72.4701,8605134,20-Oct-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,ELN,,South America,Colombia,Norte de Santander,7.8475,-72.4701,0
9.5639,-73.3342,8612838,20-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cesar,9.5639,-73.3342,0
7.8939,-72.5078,8604841,19-Oct-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,ELN,Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,7.8939,-72.5078,0
8.2858,-72.9633,8604842,19-Oct-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,8.2858,-72.9633,1
3.4376,-76.519,8604843,19-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,3.4376,-76.519,0
3.8673,-67.9235,8604850,19-Oct-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Guainia,3.8673,-67.9235,1
7.7614,-73.393,8605025,19-Oct-21,2021,Violence against civilians,Attack,Private Security Forces (Colombia),Civilians (Colombia),South America,Colombia,Cesar,7.7614,-73.393,0
6.2949,-75.0284,8627572,19-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Antioquia,6.2949,-75.0284,4
2.6233,-76.5709,8643504,19-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.6233,-76.5709,1
2.3845,-77.2157,8604826,18-Oct-21,2021,Violence against civilians,Attack,FARC Dissident - Carlos Patino Front,Civilians (Colombia),South America,Colombia,Cauca,2.3845,-77.2157,1
8.3217,-73.146,8604836,18-Oct-21,2021,Explosions/Remote violence,Grenade,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.3217,-73.146,0
2.0639,-76.8215,8604837,18-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.0639,-76.8215,1
3.4376,-76.519,8604838,18-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,3.4376,-76.519,1
7.021,-75.9103,8604847,18-Oct-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),Gulf Clan,South America,Colombia,Antioquia,7.021,-75.9103,4
2.7981,-76.4844,8605019,18-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.7981,-76.4844,2
7.8475,-72.4701,8605132,18-Oct-21,2021,Violence against civilians,Attack,ELN,Civilians (Venezuela),South America,Colombia,Norte de Santander,7.8475,-72.4701,1
9.5639,-73.3342,8612835,18-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cesar,9.5639,-73.3342,0
2.3845,-77.2157,8604830,17-Oct-21,2021,Battles,Armed clash,FARC Dissident - Carlos Patino Front,FARC Dissident - Second Marquetalia,South America,Colombia,Cauca,2.3845,-77.2157,2
8.2475,-73.3558,8604832,17-Oct-21,2021,Explosions/Remote violence,Grenade,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,8.2475,-73.3558,1
8.3148,-72.4863,8604846,17-Oct-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),Gulf Clan,South America,Colombia,Norte de Santander,8.3148,-72.4863,1
2.1198,-74.7673,8604962,17-Oct-21,2021,Battles,Armed clash,FARC Dissident - Gentil Duarte Front,Military Forces of Colombia (2018-),South America,Colombia,Caqueta,2.1198,-74.7673,1
2.2568,-77.2495,8605022,17-Oct-21,2021,Violence against civilians,Attack,FARC Dissident - Carlos Patino Front,Civilians (Colombia),South America,Colombia,Cauca,2.2568,-77.2495,1
8.2475,-73.3558,8605026,17-Oct-21,2021,Explosions/Remote violence,Grenade,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Norte de Santander,8.2475,-73.3558,1
5.7465,-75.9771,8627571,17-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Antioquia,5.7465,-75.9771,5
4.2507,-76.9693,8604825,16-Oct-21,2021,Violence against civilians,Attack,ELN,Civilians (Colombia),South America,Colombia,Choco,4.2507,-76.9693,1
1.6179,-75.6086,8604834,16-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Caqueta,1.6179,-75.6086,1
